id,product_id,product_name,price,unit,quantity,link,category,sub_category_1,sub_category_2,created_date,online_partner
153,40005769,Beans - Julienne,90,200,g,https://www.bigbasket.com/pd/40005769/fresho-beans-julienne-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,18/07/2022 11:56,Bigbasket
154,30005197,Bottle Gourd - Diced,90,200,g,https://www.bigbasket.com/pd/30005197/fresho-bottle-gourd-diced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,19/07/2022 11:56,Bigbasket
155,40005798,Cucumber - Sliced,90,200,g,https://www.bigbasket.com/pd/40005798/fresho-cucumber-sliced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,20/07/2022 11:56,Bigbasket
156,40005792,Amaranthus - Chopped,210,100,g,https://www.bigbasket.com/pd/40005792/fresho-amaranthus-chopped-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,21/07/2022 11:56,Bigbasket
157,40005831,Red Cabbage - Grated,110,200,g,https://www.bigbasket.com/pd/40005831/fresho-red-cabbage-grated-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,22/07/2022 11:56,Bigbasket
158,40005805,Beans Cluster - Diced,185,200,g,https://www.bigbasket.com/pd/40005805/fresho-beans-cluster-diced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,23/07/2022 11:56,Bigbasket
159,40005776,Bitter Gourd - Diced,130,200,g,https://www.bigbasket.com/pd/40005776/fresho-bitter-gourd-diced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,24/07/2022 11:56,Bigbasket
160,30005196,Drumstick - Cut,430,200,g,https://www.bigbasket.com/pd/30005196/fresho-drumstick-cut-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,25/07/2022 11:56,Bigbasket
161,10000112,"Methi/Venthaya Keerai - Cleaned, without roots",55,250,g,https://www.bigbasket.com/pd/10000112/fresho-methiventhaya-keerai-cleaned-without-roots-250-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,26/07/2022 11:56,Bigbasket
162,40005844,White Radish - Sliced,10,200,g,https://www.bigbasket.com/pd/40005844/fresho-white-radish-sliced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,27/07/2022 11:56,Bigbasket
163,10000597,Leeks,250,100,g,https://www.bigbasket.com/pd/10000597/fresho-leeks-100-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,28/07/2022 11:56,Bigbasket
164,40049433,Colocasia - Organically Grown,59,1,kg,https://www.bigbasket.com/pd/40049433/fresho-colocasia-organically-grown-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,29/07/2022 11:56,Bigbasket
165,40050703,Yam - Cut,124,250,g,https://www.bigbasket.com/pd/40050703/fresho-yam-cut-250-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,30/07/2022 11:56,Bigbasket
166,50000485,Coccinia - Organically Grown,50,1,kg,https://www.bigbasket.com/pd/50000485/fresho-coccinia-organically-grown-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,31/07/2022 11:56,Bigbasket
167,20004773,Snake gourd - Diced,90,300,g,https://www.bigbasket.com/pd/20004773/fresho-snake-gourd-diced-300-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,01/08/2022 11:56,Bigbasket
168,30005198,Capsicum - Diced,215,200,g,https://www.bigbasket.com/pd/30005198/fresho-capsicum-diced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,02/08/2022 11:56,Bigbasket
169,50000466,Bitter Gourd - Organically Grown,69,250,g,https://www.bigbasket.com/pd/50000466/fresho-bitter-gourd-organically-grown-250-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,03/08/2022 11:56,Bigbasket
170,10000056,"Brinjal - Green, Long",48,500,g,https://www.bigbasket.com/pd/10000056/fresho-brinjal-green-long-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,04/08/2022 11:56,Bigbasket
171,10000197,Tapioca,46,500,g,https://www.bigbasket.com/pd/10000197/fresho-tapioca-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,05/08/2022 11:56,Bigbasket
172,40036724,Banana Stem - Organically Grown,20,1,pc,https://www.bigbasket.com/pd/40036724/fresho-banana-stem-organically-grown-1-pc/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,06/08/2022 11:56,Bigbasket
173,40023479,Chow Chow - Organically Grown,20,500,g,https://www.bigbasket.com/pd/40023479/fresho-chow-chow-organically-grown-500-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,07/08/2022 11:56,Bigbasket
174,40023471,Pumpkin - Organically Grown,79,1,pc,https://www.bigbasket.com/pd/40023471/fresho-pumpkin-organically-grown-1-pc/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,08/08/2022 11:56,Bigbasket
